dataset_id,description,licensed
6846,Monthly refinery planned outage for CDU units in Ireland in kb/d,yes
6847,Monthly refinery total outages for CDU units in Senegal in kb/d,yes
6848,Monthly refinery planned outage for CDU units in Portugal in kb/d,yes
6849,Monthly refinery total outages for CDU units in Canada in kb/d,yes
6850,Monthly refinery planned outage for ALK units in Europe in kb/d,yes
6851,Monthly refinery planned outage for HCU units in Latin America in kb/d,yes
6852,Monthly refinery planned outage for CDU units in Czechia in kb/d,yes
6853,Monthly refinery total outages for CDU units in Tunisia in kb/d,yes
6854,Monthly refinery planned outage for CDU units in Papua New Guinea in kb/d,yes
6855,Monthly refinery unplanned outage for ALK units in Latin America in kb/d,yes
6856,Monthly refinery total outages for CDU units in Argentina in kb/d,yes
6857,Monthly refinery total outages for ALK units in Middle East in kb/d,yes
6858,Monthly refinery planned outage for ALK units in Former Soviet Union in kb/d,yes
6859,Monthly refinery total outages for CDU units in Poland in kb/d,yes
6860,Monthly refinery planned outage for CDU units in Australia in kb/d,yes
6861,Monthly refinery total outages for ALK units in Asia Pacific in kb/d,yes
6862,Monthly refinery total outages for FCC units in Latin America in kb/d,yes
6863,Monthly refinery unplanned outage for ALK units in Asia Pacific in kb/d,yes
6864,Monthly refinery total outages for FCC units in Europe in kb/d,yes
6865,Monthly refinery total outages for CDU units in PADD 1 in kb/d,yes
6866,Monthly refinery total outages for CDU units in Greece in kb/d,yes
6867,Monthly refinery total outages for CDU units in Germany in kb/d,yes
6868,Monthly refinery unplanned outage for HT units in Middle East in kb/d,yes
6869,Monthly refinery total outages for CDU units in Libya in kb/d,yes
6870,Monthly refinery planned outage for RFMR units in Latin America in kb/d,yes
6871,Monthly refinery total outages for CDU units in Spain in kb/d,yes
6872,Monthly refinery total outages for CDU units in Saudi Arabia in kb/d,yes
6873,Monthly refinery planned outage for all units in Middle East in kb/d,yes
6874,Monthly refinery planned outage for all units in Asia Pacific kb/d,yes
6875,Monthly refinery planned outage for CDU units in South Africa in kb/d,yes
6876,Monthly refinery total outages for COK units in North America in kb/d,yes
6877,Monthly refinery planned outage for CDU units in Mexico in kb/d,yes
6878,Monthly refinery planned outage for CDU units in Tunisia in kb/d,yes
6879,Monthly refinery total outages for CDU units in Kazakhstan in kb/d,yes
6880,Monthly refinery total outages for CDU units in Albania in kb/d,yes
6881,Monthly refinery unplanned outage for COK units in Middle East in kb/d,yes
6882,Monthly refinery planned outage for CDU units in United Arab Emirates in kb/d,yes
6883,Monthly refinery planned outage for RFMR units in Europe in kb/d,yes
6884,Monthly refinery unplanned outage for COK units in Europe in kb/d,yes
6885,Monthly refinery planned outage for HCU units in Europe in kb/d,yes
6886,Monthly refinery planned outage for HCU units in Asia Pacific in kb/d,yes
6887,Monthly refinery total outages for CDU units in Morocco in kb/d,yes
6888,Monthly refinery planned outage for CDU units in Slovakia in kb/d,yes
6889,Monthly refinery total outages for CDU units in Oman in kb/d,yes
6890,Monthly refinery total outages for CDU units in Qatar in kb/d,yes
6891,Monthly refinery planned outage for HCU units in Former Soviet Union in kb/d,yes
6892,Monthly refinery planned outage for CDU units in Algeria in kb/d,yes
6893,Monthly refinery total outages for CDU units in Philippines in kb/d,yes
6894,Monthly refinery total outages for CDU units in Myanmar in kb/d,yes
6895,Monthly refinery planned outage for FCC units in Former Soviet Union in kb/d,yes
6896,Monthly refinery total outages for CDU units in United States in kb/d,yes
6897,Monthly refinery total outages for HCU units in Former Soviet Union in kb/d,yes
6898,Monthly refinery planned outage for HT units in Europe in kb/d,yes
6899,Monthly refinery total outages for CDU units in Singapore in kb/d,yes
6900,Monthly refinery total outages for CDU units in China in kb/d,yes
6901,Monthly refinery total outages for CDU units in Ivory Coast in kb/d,yes
6902,Monthly refinery total outages for CDU units in Ireland in kb/d,yes
6903,Monthly refinery unplanned outage for CDU units in Africa in kb/d,yes
6904,Monthly refinery planned outage for CDU units in Syria in kb/d,yes
6905,Monthly refinery unplanned outage for all units in Asia Pacific kb/d,yes
6906,Monthly refinery total outages for CDU units in Cameroon in kb/d,yes
6907,Monthly refinery planned outage for CDU units in Trinidad and Tobago in kb/d,yes
6908,Monthly refinery total outages for RFMR units in Africa in kb/d,yes
6909,Monthly refinery planned outage for CDU units in Taiwan in kb/d,yes
6910,Monthly refinery total outages for RFMR units in Former Soviet Union in kb/d,yes
6911,Monthly refinery unplanned outage for FCC units in Africa in kb/d,yes
6912,Monthly refinery total estimated impact in North America in kb/d,yes
6913,Monthly refinery total outages for CDU units in Dominican Republic in kb/d,yes
6914,Monthly refinery total estimated impact in Africa in kb/d,yes
6915,Monthly refinery total outages for CDU units in Curacao in kb/d,yes
6916,Monthly refinery total outages for CDU units in Bulgaria in kb/d,yes
6917,Monthly refinery planned outage for CDU units in Austria in kb/d,yes
6918,Monthly refinery planned outage for CDU units in Israel in kb/d,yes
6919,Monthly refinery planned outage for CDU units in PADD 1 in kb/d,yes
6920,Monthly refinery planned outage for CDU units in Sudan in kb/d,yes
6921,Monthly refinery planned outage for all units in North America in kb/d,yes
6922,Monthly refinery total outages for FCC units in North America in kb/d,yes
6923,Monthly refinery total outages for CDU units in Iran in kb/d,yes
6924,Monthly refinery planned outage for RFMR units in Africa in kb/d,yes
6925,Monthly refinery total outages for COK units in Former Soviet Union in kb/d,yes
6926,Monthly refinery total outages for CDU units in Bahrain in kb/d,yes
6927,Monthly refinery planned outage for CDU units in Cuba in kb/d,yes
6928,Monthly refinery planned outage for CDU units in Nicaragua in kb/d,yes
6929,Monthly refinery total outages for CDU units in Hungary in kb/d,yes
6930,Monthly refinery planned outage for CDU units in United Kingdom in kb/d,yes
6931,Monthly refinery planned outage for HT units in Asia Pacific in kb/d,yes
6932,Monthly refinery unplanned outage for FCC units in Middle East in kb/d,yes
6933,Monthly refinery total outages for CDU units in Trinidad and Tobago in kb/d,yes
6934,Monthly refinery planned outage for CDU units in PADD 2 in kb/d,yes
6935,Monthly refinery planned outage for CDU units in Iraq in kb/d,yes
6936,Monthly refinery planned outage for CDU units in Latin America in kb/d,yes
6937,Monthly refinery planned outage for CDU units in PADD 4 in kb/d,yes
6938,Monthly refinery planned outage for CDU units in Jamaica in kb/d,yes
6939,Monthly refinery total outages for CDU units in Korea in kb/d,yes
6940,Monthly refinery planned outage for CDU units in New Zealand in kb/d,yes
6941,Monthly refinery total outages for HT units in Latin America in kb/d,yes
6942,Monthly refinery total estimated impact in PADD 5 in kb/d,yes
6943,Monthly refinery planned outage for CDU units in Qatar in kb/d,yes
6944,Monthly refinery planned outage for CDU units in Romania in kb/d,yes
6945,Monthly refinery planned outage for CDU units in Singapore in kb/d,yes
6946,Monthly refinery total outages for CDU units in Former Soviet Union in kb/d,yes
6947,Monthly refinery total estimated impact in PADD 4 in kb/d,yes
6948,Monthly refinery total outages in HCU units in Africa in kb/d,yes
6949,Monthly refinery planned outage for CDU units in Switzerland in kb/d,yes
6950,Monthly refinery planned outage for CDU units in Finland in kb/d,yes
6951,Monthly refinery unplanned outage for RFMR units in Middle East in kb/d,yes
6952,Monthly refinery unplanned outage for CDU units in Asia Pacific in kb/d,yes
6953,Monthly refinery total outages for CDU units in South Africa in kb/d,yes
6954,Monthly refinery planned outage for CDU units in Belarus in kb/d,yes
6955,Monthly refinery total outages for HCU units in North America in kb/d,yes
6956,Monthly refinery total outages for COK units in Middle East in kb/d,yes
6957,Monthly refinery total estimated impact in Latin America in kb/d,yes
6958,Monthly refinery total outages for RFMR units in North America in kb/d,yes
6959,Monthly refinery total outages for HT units in Asia Pacific in kb/d,yes
6960,Monthly refinery planned outage for COK units in Asia Pacific in kb/d,yes
6961,Monthly refinery planned outage for CDU units in Sweden in kb/d,yes
6962,Monthly refinery total outages for CDU units in Asia Pacific in kb/d,yes
6963,Monthly refinery unplanned outage for CDU units in Latin America in kb/d,yes
6964,Monthly refinery unplanned outage for CDU units in North America in kb/d,yes
6965,Monthly refinery planned outage for CDU units in Angola in kb/d,yes
6966,Monthly refinery planned outage for CDU units in Martinique in kb/d,yes
6967,Monthly refinery planned outage for CDU units in Kuwait in kb/d,yes
6968,Monthly refinery planned outage for CDU units in Serbia in kb/d,yes
6969,Monthly refinery total outages for CDU units in Sri Lanka in kb/d,yes
6970,Monthly refinery total outages for CDU units in Niger in kb/d,yes
6971,Monthly refinery planned outage for CDU units in Brazil in kb/d,yes
6972,Monthly refinery unplanned outage for all units in Africa in kb/d,yes
6973,Monthly refinery planned outage for CDU units in Colombia in kb/d,yes
6974,Monthly refinery planned outage for all units in Europe in kb/d,yes
6975,Monthly refinery planned outage for RFMR units in North America in kb/d,yes
6976,Monthly refinery planned outage for CDU units in PADD 3 in kb/d,yes
6977,Monthly refinery planned outage for FCC units in Europe in kb/d,yes
6978,Monthly refinery unplanned outage for HCU units in North America in kb/d,yes
6979,Monthly refinery planned outage for CDU units in Oman in kb/d,yes
6980,Monthly refinery total outages for OTHER in Former Soviet Union in kb/d,yes
6981,Monthly refinery unplanned outage for HT units in Europe in kb/d,yes
6982,Monthly refinery planned outage for CDU units in PADD 5 in kb/d,yes
6983,Monthly refinery total outages for CDU units in Croatia in kb/d,yes
6984,Monthly refinery planned outage for ALK units in Middle East in kb/d,yes
6985,Monthly refinery total outages for RFMR units in Latin America in kb/d,yes
6986,Monthly refinery planned outage for CDU units in Gabon in kb/d,yes
6987,Monthly refinery unplanned outage for HT units in Latin America in kb/d,yes
6988,Monthly refinery total outages for COK units in Asia Pacific in kb/d,yes
6989,Monthly refinery planned outage for HCU units in Africa in kb/d,yes
6990,Monthly refinery total outages for CDU units in Iraq in kb/d,yes
6991,Monthly refinery total estimated impact in PADD 3 in kb/d,yes
6992,Monthly refinery planned outage for ALK units in Africa in kb/d,yes
6993,Monthly refinery total outages for CDU units in Martinique in kb/d,yes
6994,Monthly refinery planned outage for COK units in Europe in kb/d,yes
6995,Monthly refinery total outages for CDU units in Algeria in kb/d,yes
6996,Monthly refinery total outages for CDU units in Ghana in kb/d,yes
6997,Monthly refinery total outages for OTHER in Asia Pacific in kb/d,yes
6998,Monthly refinery total outages for ALK units in Former Soviet Union in kb/d,yes
6999,Monthly refinery planned outage for CDU units in Libya in kb/d,yes
7000,Monthly refinery total outages for FCC units in Asia Pacific in kb/d,yes
7001,Monthly refinery total outages for CDU units in Australia in kb/d,yes
7002,Monthly refinery planned outage for CDU units in Canada in kb/d,yes
7003,Monthly refinery planned outage for CDU units in Ivory Coast in kb/d,yes
7004,Monthly refinery planned outage for HCU units in North America in kb/d,yes
7005,Monthly refinery planned outage for all units in Latin America in kb/d,yes
7006,Monthly refinery unplanned outage for RFMR units in Former Soviet Union in kb/d,yes
7007,Monthly refinery unplanned outage for RFMR units in North America in kb/d,yes
7008,Monthly refinery total outages for OTHER in Europe in kb/d,yes
7009,Monthly refinery total outages for CDU units in Italy in kb/d,yes
7010,Monthly refinery total estimated impact in Asia Pacific in kb/d,yes
